clima_id,municipio,fecha,temperatura_max_c,temperatura_min_c,precipitacion_mm,condicion,temporada
1,Manizales,2023-01-01,15.8,10.1,0.6,soleado,alta
2,Manizales,2023-01-04,16.0,10.1,61.3,tormenta,alta
3,Manizales,2023-01-07,16.4,6.6,0.8,nublado,alta
4,Manizales,2023-01-10,20.9,14.0,3.3,soleado,alta
5,Manizales,2023-01-13,20.0,10.7,1.2,soleado,alta
6,Manizales,2023-01-16,19.8,10.2,0.6,nublado,alta
7,Manizales,2023-01-19,20.0,11.7,4.7,soleado,alta
8,Manizales,2023-01-22,16.0,8.0,34.4,lluvioso,alta
9,Manizales,2023-01-25,21.0,12.2,4.3,soleado,alta
10,Manizales,2023-01-28,15.7,7.4,1.4,soleado,alta
11,Manizales,2023-01-31,17.6,8.1,4.6,nublado,alta
12,Manizales,2023-02-03,20.2,13.3,1.6,nublado,media
13,Manizales,2023-02-06,17.0,8.8,3.2,soleado,media
14,Manizales,2023-02-09,17.3,9.6,49.4,lluvioso,media
15,Manizales,2023-02-12,17.7,12.6,2.7,soleado,media
16,Manizales,2023-02-15,18.9,10.1,0.8,soleado,media
17,Manizales,2023-02-18,20.7,11.5,48.0,lluvioso,media
18,Manizales,2023-02-21,15.7,10.0,4.1,nublado,media
19,Manizales,2023-02-24,17.9,10.9,1.2,soleado,media
20,Manizales,2023-02-27,19.3,11.7,62.3,lluvioso,media
21,Manizales,2023-03-02,20.4,15.0,2.2,nublado,media
22,Manizales,2023-03-05,17.3,11.3,3.3,nublado,media
23,Manizales,2023-03-08,16.0,7.9,23.6,lluvioso,media
24,Manizales,2023-03-11,20.6,12.9,56.9,lluvioso,media
25,Manizales,2023-03-14,19.3,12.3,0.4,soleado,media
26,Manizales,2023-03-17,18.1,12.5,67.6,tormenta,media
27,Manizales,2023-03-20,16.1,9.6,4.0,nublado,media
28,Manizales,2023-03-23,20.5,13.4,0.9,nublado,media
29,Manizales,2023-03-26,17.2,9.6,4.1,soleado,media
30,Manizales,2023-03-29,18.8,11.2,0.0,soleado,media
